employee_id,first_name,last_name,gender,birth_date,hire_date,exit_date,attrition_flag,manager_id,role_id,is_ghost_manager_flag,invalid_exit_date_flag,missing_exit_date_flag,active_with_exit_date_flag,age_years,tenure_years
41,Karim,Sorour,Male,1979-11-30,2023-09-04,,No,14866,19,False,False,False,False,46.1,2.3
42,Hosam,El-Sayed,Male,1988-03-21,2020-09-05,,No,13316,50,False,False,False,False,37.8,5.3
43,Wael,Kamel,Male,2002-03-01,2022-02-07,2024-04-14,Yes,13214,56,False,False,False,False,23.8,2.2
44,Adel,Radwan,Male,2002-10-13,2020-06-24,,No,5153,12,False,False,False,False,23.2,5.5
45,Mahmoud,Nagi,Male,1993-02-07,2019-04-01,,No,6224,48,False,False,False,False,32.9,6.8
46,Eman,Attia,Female,1996-03-09,2022-12-16,2025-01-10,Yes,8757,4,False,False,False,False,29.8,2.1
47,Salma,Elnaggar,Female,1994-02-21,2022-04-07,2024-02-23,Yes,13882,37,False,False,False,False,31.9,1.9
48,Noha,Arafa,Female,2002-06-19,2024-06-14,,No,12637,45,False,False,False,False,23.5,1.5
49,Nadia,Badawy,Female,2001-02-20,2023-12-16,,No,2120,67,False,False,False,False,24.9,2.0
50,Khaled,Fouad,Male,1998-12-21,2023-07-19,2025-08-18,Yes,8105,69,False,False,False,False,27.0,2.1
51,Sherin,Shahin,Female,1984-09-09,2023-02-14,2024-06-07,Yes,3332,20,False,False,False,False,41.3,1.3
52,Heba,Hegazy,Female,2002-10-25,2021-08-21,,No,9022,67,False,False,False,False,23.2,4.4
53,Essam,Sharaf,Male,2002-11-20,2020-04-11,,No,5329,13,False,False,False,False,23.1,5.7
54,Sherin,Amer,Female,2002-05-03,2020-07-25,,No,780,12,False,False,False,False,23.7,5.4
55,Dalia,Gabr,Female,1983-04-18,2023-12-02,,No,11224,27,False,False,False,False,42.7,2.1
56,Wael,Zaki,Male,2000-06-08,2020-12-08,,No,4756,24,False,False,False,False,25.6,5.1
57,Emad,Kamel,Male,1988-06-19,2020-01-25,,No,14071,62,False,False,False,False,37.5,5.9
58,Lobna,Sherif,Female,2002-02-28,2023-02-18,,No,1861,24,False,False,False,False,23.8,2.9
59,Adel,Elwy,Male,1998-09-13,2023-01-14,,No,3643,57,False,False,False,False,27.3,3.0
60,Reem,Hafez,Female,1996-03-20,2019-09-18,2025-02-06,Yes,12975,25,False,False,False,False,29.8,5.4
61,Amr,Nawara,Male,1994-07-22,2022-01-27,,No,472,14,False,False,False,False,31.4,3.9
62,Rabab,Diab,Female,1999-10-22,2021-08-10,,No,14750,68,False,False,False,False,26.2,4.4
63,Shereen,Gouda,Female,1993-03-08,2021-11-21,,No,13170,36,False,False,False,False,32.8,4.1
64,Nadia,Sharaf,Female,1984-03-26,2019-10-29,,No,8159,61,False,False,False,False,41.8,6.2
65,Ali,Gamal,Male,2001-07-13,2022-03-24,,No,10367,1,False,False,False,False,24.5,3.8
66,Sahar,Selim,Female,1989-09-17,2019-01-12,,No,1637,16,False,False,False,False,36.3,7.0
67,Hazem,Ghoneim,Male,1985-09-28,2022-11-26,,No,5270,74,False,False,False,False,40.3,3.1
68,Ibrahim,Gamal,Male,1995-03-19,2022-09-29,,No,7369,48,False,False,False,False,30.8,3.3
69,Ashraf,Nawara,Male,1978-01-01,2021-10-30,2024-03-24,Yes,2952,54,False,False,False,False,48.0,2.4
70,Tarek,Roushdy,Male,1983-06-07,2020-05-21,,No,9773,41,False,False,False,False,42.6,5.6
71,Hosam,Bayoumi,Male,1985-01-29,2021-06-19,,No,4721,71,False,False,False,False,40.9,4.5
72,Sherin,Elwy,Female,1982-11-27,2019-10-11,,No,2609,6,False,False,False,False,43.1,6.2
73,Hany,Khalil,Male,1999-11-09,2022-01-16,,No,9629,13,False,False,False,False,26.1,4.0
74,Nevine,Metwally,Female,1996-07-20,2024-04-21,,No,2492,36,False,False,False,False,29.5,1.7
75,Nader,Tawfik,Male,1999-12-22,2020-09-03,,No,12353,57,False,False,False,False,26.0,5.3
76,Walid,Sherif,Male,1996-02-15,2023-06-27,,No,5633,70,False,False,False,False,29.9,2.5
77,Amira,Desouki,Female,1979-05-12,2020-11-19,,No,1634,52,False,False,False,False,46.6,5.1
78,Tarek,Assal,Male,1992-12-31,2022-06-28,,No,1840,62,False,False,False,False,33.0,3.5
79,Mai,Farid,Female,1998-10-05,2023-11-11,2025-03-06,Yes,13974,45,False,False,False,False,27.2,1.3
80,Reem,Barakat,Female,1999-11-23,2023-04-08,,No,3300,35,False,False,False,False,26.1,2.7
81,Walid,Ragab,Male,2000-08-21,2019-02-09,,No,5397,34,False,False,False,False,25.4,6.9
82,Amr,Hilal,Male,1998-10-05,2024-05-14,,No,8702,59,False,False,False,False,27.2,1.6
83,Nadia,Ismail,Female,2001-06-26,2019-11-09,,No,4538,57,False,False,False,False,24.5,6.1
84,Hany,Assal,Male,2002-04-20,2021-01-25,2024-01-13,Yes,6107,12,False,False,False,False,23.7,3.0
85,Ibrahim,Attia,Male,1991-03-19,2022-03-31,,No,11574,14,False,False,False,False,34.8,3.8
86,Nader,Abdalla,Male,1977-03-23,2019-06-05,,No,4766,9,False,False,False,False,48.8,6.6
87,Youssef,Ayoub,Male,1988-09-25,2023-07-08,2024-12-27,Yes,6062,49,False,False,False,False,37.3,1.5
88,Hassan,Fahmy,Male,1989-06-02,2021-01-28,,No,6764,5,False,False,False,False,36.6,4.9
89,Walid,Bayoumi,Male,1994-01-23,2022-07-25,2024-04-02,Yes,3056,3,False,False,False,False,31.9,1.7
90,Nada,Hilal,Female,1993-01-11,2022-06-15,,No,9619,70,False,False,False,False,33.0,3.5
91,Magdy,Desouki,Male,1981-08-23,2020-07-03,2024-02-27,Yes,1276,75,False,False,False,False,44.4,3.7
92,Omar,Amer,Male,1977-09-25,2023-03-17,,No,13955,31,False,False,False,False,48.3,2.8
93,Adel,Ghanem,Male,1993-08-24,2020-01-08,,No,9259,36,False,False,False,False,32.4,6.0
94,Adel,Amer,Male,2001-12-07,2023-12-08,,No,3567,35,False,False,False,False,24.1,2.1
95,Yasmin,Farid,Female,1994-07-23,2021-09-27,,No,5872,26,False,False,False,False,31.4,4.3
96,Ramzy,Saber,Male,1983-01-17,2020-08-25,,No,13968,49,False,False,False,False,43.0,5.4
97,Abeer,Roushdy,Female,1993-11-09,2021-05-21,,No,5854,14,False,False,False,False,32.1,4.6
98,Ola,Zohair,Female,1992-08-02,2019-09-05,,No,14109,59,False,False,False,False,33.4,6.3
99,Dalia,Sabry,Female,2002-02-21,2021-09-18,,No,5586,57,False,False,False,False,23.9,4.3
100,Hosam,Hendy,Male,1983-02-16,2023-09-02,,No,8220,28,False,False,False,False,42.9,2.3
101,Noha,El-Sayed,Female,1998-09-17,2020-07-15,,No,8376,13,False,False,False,False,27.3,5.5
102,Mostafa,Bayoumi,Male,1968-02-20,2022-03-21,,No,5254,10,False,False,False,False,57.9,3.8
103,Nada,Salem,Female,1995-05-11,2019-08-22,,No,5068,25,False,False,False,False,30.6,6.4
104,Mahmoud,Ramadan,Male,2001-02-26,2024-04-27,,No,4958,68,False,False,False,False,24.8,1.7
105,Nevine,Abboud,Female,2001-06-20,2020-04-07,,No,12000,23,False,False,False,False,24.5,5.7
106,Manar,Ayoub,Female,1994-10-23,2020-09-17,,No,307,69,False,False,False,False,31.2,5.3
107,Youssef,Radwan,Male,1984-12-19,2022-09-14,,No,13545,50,False,False,False,False,41.0,3.3
108,Aya,Attia,Female,2000-07-11,2022-11-12,,No,3214,1,False,False,False,False,25.5,3.1
109,Hala,Nassar,Female,1995-02-03,2019-05-26,,No,12198,48,False,False,False,False,30.9,6.6
110,Yasmin,Nasr,Female,1999-04-06,2022-08-19,2024-04-12,Yes,7989,57,False,False,False,False,26.7,1.6
111,Ali,Hassan,Male,1978-06-13,2022-05-03,,No,8686,20,False,False,False,False,47.6,3.7
112,Ashraf,Ibrahim,Male,1985-05-30,2022-12-04,,No,13950,62,False,False,False,False,40.6,3.1
113,Naglaa,Ezzat,Female,1975-06-13,2023-12-27,,No,2279,41,False,False,False,False,50.6,2.0
114,Mohamed,Nagi,Male,1989-07-24,2023-09-09,,No,6944,38,False,False,False,False,36.4,2.3
115,Ayman,Makhlouf,Male,1998-06-25,2019-12-25,,No,8522,70,False,False,False,False,27.5,6.0
116,Amira,Sabry,Female,1994-11-21,2022-07-24,,No,3974,37,False,False,False,False,31.1,3.4
117,Doaa,Shahin,Female,1997-07-07,2019-08-03,,No,2554,69,False,False,False,False,28.5,6.4
118,Naglaa,Nassar,Female,2000-03-31,2023-07-25,,No,4715,67,False,False,False,False,25.8,2.4
119,Reem,Ragab,Female,1998-08-31,2021-04-07,2024-08-23,Yes,11605,69,False,False,False,False,27.3,3.4
120,Samy,Assal,Male,1992-02-08,2021-11-27,,No,4728,69,False,False,False,False,33.9,4.1
121,Manar,Salem,Female,1988-02-28,2019-09-26,2024-05-26,Yes,7752,29,False,False,False,False,37.8,4.7
122,Ibrahim,Ghanem,Male,1996-10-29,2023-06-25,,No,3716,26,False,False,False,False,29.2,2.5
123,Fatma,Abdo,Female,1984-07-09,2023-09-20,2025-01-26,Yes,2552,16,False,False,False,False,41.5,1.4
124,Salma,Wahba,Female,1993-04-10,2021-11-08,,No,8991,4,False,False,False,False,32.7,4.1
125,Samir,Selim,Male,1998-10-24,2021-02-24,,No,11173,57,False,False,False,False,27.2,4.9
126,Mostafa,Khalil,Male,1983-11-10,2023-10-16,,No,8397,19,False,False,False,False,42.1,2.2
127,Ayman,Mansour,Male,1993-05-07,2023-09-12,2025-03-13,Yes,11401,36,False,False,False,False,32.7,1.5
128,Khaled,Saber,Male,1993-11-14,2020-11-11,2025-06-14,Yes,7993,47,False,False,False,False,32.1,4.6
129,Reem,Lotfy,Female,1984-09-05,2022-03-17,,No,15012,49,True,False,False,False,41.3,3.8
130,Hassan,Elwy,Male,2001-12-15,2024-02-14,,No,13689,35,False,False,False,False,24.0,1.9
131,Khaled,Wahba,Male,1991-06-02,2021-10-25,,No,7908,70,False,False,False,False,34.6,4.2
132,Manar,Shaker,Female,1995-02-15,2019-02-01,,No,4812,48,False,False,False,False,30.9,6.9
133,Khaled,Soliman,Male,1999-06-27,2020-11-24,,No,11174,57,False,False,False,False,26.5,5.1
134,Adel,Sherif,Male,1985-07-21,2022-07-07,,No,299,51,False,False,False,False,40.4,3.5
135,Samy,Zaki,Male,1977-08-19,2022-07-16,,No,5133,64,False,False,False,False,48.4,3.5
136,Omar,Desouki,Male,1983-07-12,2022-07-21,,No,13232,64,False,False,False,False,42.5,3.4
137,Ramy Mahmoud,Ghanem,Male,1978-04-16,2021-01-04,,No,4800,64,False,False,False,False,47.7,5.0
138,Nevine,Khattab,Female,1992-01-08,2019-12-15,,No,14686,26,False,False,False,False,34.0,6.0
139,Karim,Wahba,Male,1998-10-21,2020-04-20,2022-01-10,Yes,7072,12,False,False,False,False,27.2,1.7
140,Fatma,Assal,Female,1989-08-07,2022-01-24,,No,11048,39,False,False,False,False,36.4,3.9
141,Ramy,Nasr,Male,2000-07-24,2023-09-28,2025-06-24,Yes,3458,12,False,False,False,False,25.4,1.7
142,Shereen,Badawy,Female,2001-03-17,2021-01-05,,No,8303,24,False,False,False,False,24.8,5.0
143,Mohamed,Abdalla,Male,2001-03-05,2023-11-07,,No,5483,45,False,False,False,False,24.8,2.2
144,Ramzy,Nassar,Male,1984-07-31,2022-05-28,2024-06-16,Yes,6917,62,False,False,False,False,41.4,2.1
145,Wael,Mostafa,Male,1997-01-14,2022-08-16,,No,3693,69,False,False,False,False,29.0,3.4
146,Faris,Yousef,Male,1999-08-28,2020-10-31,,No,6020,2,False,False,False,False,26.3,5.2
147,Dalia,Arafa,Female,1993-01-21,2023-08-28,,No,306,58,False,False,False,False,32.9,2.3
148,Samir,Bishara,Male,1999-11-25,2023-07-06,,No,517,13,False,False,False,False,26.1,2.5
149,Ghada,Abdalla,Female,1996-04-01,2021-01-19,,No,7250,4,False,False,False,False,29.8,5.0
150,Dalia,Ibrahim,Female,1989-07-18,2023-03-14,2024-05-17,Yes,10262,6,False,False,False,False,36.5,1.2
151,Faris,Badawy,Male,2000-08-23,2019-02-21,2022-02-16,Yes,4932,57,False,False,False,False,25.4,3.0
152,Sherif,Khalil,Male,1980-03-16,2024-02-06,2025-09-24,Yes,14395,53,False,False,False,False,45.8,1.6
153,Mostafa,Fawzy,Male,1999-09-16,2021-10-05,,No,7426,57,False,False,False,False,26.3,4.2
154,Mostafa,Metwally,Male,2001-10-05,2024-04-28,,No,10389,1,False,False,False,False,24.2,1.7
155,Khaled,Shalaby,Male,1991-05-08,2021-09-29,2023-01-15,Yes,4932,61,False,False,False,False,34.7,1.3
156,Hassan,Sorour,Male,1994-12-27,2024-04-30,,No,14792,47,False,False,False,False,31.0,1.7
157,Abeer,Elnaggar,Female,1982-03-26,2021-01-04,,No,10640,19,False,False,False,False,43.8,5.0
158,Dina,Gamal,Female,1992-05-18,2022-08-07,,No,12030,4,False,False,False,False,33.6,3.4
159,Sherin,Selim,Female,1998-10-29,2022-03-02,,No,6859,59,False,False,False,False,27.2,3.8
160,Rania,Osman,Male,2002-11-17,2020-04-22,,No,2877,12,False,False,False,False,23.1,5.7
161,Ahmed,Amer,Male,1983-08-16,2019-09-24,,No,9487,28,False,False,False,False,42.4,6.3
162,Mai,Yousef,Female,2002-06-06,2023-06-03,,No,621,45,False,False,False,False,23.6,2.6
163,Rania,Salem,Female,1994-09-21,2021-12-13,,No,10321,14,False,False,False,False,31.3,4.1
164,Faris,Saad,Male,1987-01-26,2021-10-28,,No,13301,5,False,False,False,False,38.9,4.2
165,Lobna,Ayoub,Female,1985-10-23,2019-03-05,2023-04-17,Yes,8245,19,False,False,False,False,40.2,4.1
166,Hazem,Badawy,Male,1978-03-15,2021-06-27,,No,1319,11,False,False,False,False,47.8,4.5
167,Khaled,Khalil,Male,1982-01-01,2022-07-20,,No,6750,8,False,False,False,False,44.0,3.5
168,Lobna,Bishara,Female,1996-10-15,2021-05-31,,No,3744,48,False,False,False,False,29.2,4.6
169,Rania,Desouki,Female,1984-07-24,2021-04-27,2023-12-09,Yes,14871,7,False,False,False,False,41.4,2.6
170,Heba,Elwy,Female,1989-06-17,2020-06-06,2020-03-18,Yes,9602,27,False,True,False,False,36.5,-0.2
171,Samir,Khalil,Male,1968-12-15,2019-07-10,,No,1375,33,False,False,False,False,57.0,6.5
172,Mostafa,Mandour,Male,2001-02-24,2022-02-24,,No,14332,34,False,False,False,False,24.9,3.9
173,Rabab,Salem,Female,1988-09-25,2020-10-01,,No,11663,27,False,False,False,False,37.3,5.3
174,Salma,Tawfik,Female,1998-08-10,2020-12-18,,No,10358,24,False,False,False,False,27.4,5.0
175,Amira,Makhlouf,Female,1994-10-24,2023-09-27,,No,3442,70,False,False,False,False,31.2,2.3
176,Mohamed,Abboud,Male,1977-04-20,2022-11-21,,No,12732,55,False,False,False,False,48.7,3.1
177,Noha,Rizk,Female,1999-01-07,2023-11-17,,No,5444,23,False,False,False,False,27.0,2.1
178,Salma,Ghanem,Female,1995-12-13,2020-03-16,,No,12080,15,False,False,False,False,30.1,5.8
179,Abeer,Sharaf,Female,1998-09-17,2024-04-12,2025-11-12,Yes,280,37,False,False,False,False,27.3,1.6
180,Khaled,Attia,Male,1990-07-23,2022-10-12,,No,9417,47,False,False,False,False,35.4,3.2
181,Ramzy,Abboud,Male,1999-07-14,2020-03-17,,No,10278,1,False,False,False,False,26.5,5.8
182,Dina,Nassar,Female,1996-08-26,2021-09-23,,No,4145,70,False,False,False,False,29.3,4.3
183,Sahar Rania,Hendy,Female,1985-05-19,2024-04-20,2025-04-24,Yes,7617,49,False,False,False,False,40.6,1.0
184,Tamer,Tantawy,Male,1987-07-31,2023-03-10,,No,12519,18,False,False,False,False,38.4,2.8
185,Ghada,Aziz,Female,2001-09-30,2023-07-10,,No,5977,35,False,False,False,False,24.3,2.5
186,Hassan,Desouki,Male,1998-06-09,2023-11-01,,No,14435,24,False,False,False,False,27.6,2.2
187,Nevine,Bishara,Female,1990-03-27,2024-06-01,,No,8394,26,False,False,False,False,35.8,1.6
188,Magdy,Arafa,Male,2002-09-26,2019-08-05,,No,12707,23,False,False,False,False,23.3,6.4
189,Mona,Abdalla,Female,1998-05-13,2020-11-26,,No,10369,14,False,False,False,False,27.6,5.1
190,Hend,Kamel,Female,1992-03-05,2024-01-30,,No,10621,14,False,False,False,False,33.8,1.9
191,Khaled,Fouad,Male,1992-11-14,2020-02-09,2023-11-23,Yes,13297,70,False,False,False,False,33.1,3.8
192,Ali,Morsi,Male,1997-01-16,2021-10-08,2024-06-29,Yes,8603,15,False,False,False,False,29.0,2.7
193,Ashraf,Khattab,Male,1989-01-02,2020-10-23,,No,10168,38,False,False,False,False,37.0,5.2
194,Manar,Khalil,Female,1975-01-30,2020-09-12,,No,8091,77,False,False,False,False,50.9,5.3
195,Hend,Soliman,Female,2000-07-14,2019-03-19,,No,684,67,False,False,False,False,25.5,6.8
196,Omar,Nawara,Male,1994-04-24,2021-08-05,,No,2255,3,False,False,False,False,31.7,4.4
197,Hassan,Saber,Male,1996-05-30,2022-08-27,,No,10813,48,False,False,False,False,29.6,3.3
198,Khaled,Hassan,Male,2002-07-19,2024-01-16,,No,12557,13,False,False,False,False,23.5,2.0
199,Emad,Morsi,Male,1997-12-08,2021-06-15,,No,8091,69,False,False,False,False,28.1,4.5
200,Faris,Sorour,Male,1994-05-06,2021-04-17,,No,14045,36,False,False,False,False,31.7,4.7
201,Adel,Khalil,Male,1996-04-04,2022-10-21,,No,9741,69,False,False,False,False,29.7,3.2
202,Khaled,Gabr,Male,2001-09-21,2019-10-17,,No,12202,34,False,False,False,False,24.3,6.2
203,Sahar,Yousef,Female,1998-06-23,2020-09-26,,No,4143,23,False,False,False,False,27.5,5.3
204,Mostafa,Borhan,Male,1997-07-09,2021-05-17,,No,13698,47,False,False,False,False,28.5,4.6
205,Nada,Barakat,Female,1998-08-05,2021-09-22,,No,12758,47,False,False,False,False,27.4,4.3
206,Aya,Bishara,Female,1998-07-27,2021-11-05,,No,9546,13,False,False,False,False,27.4,4.2
207,Hosam,Zaki,Male,1998-08-05,2022-06-19,,No,6606,69,False,False,False,False,27.4,3.5
208,Nada,Gouda,Female,1990-06-28,2021-04-21,,No,1921,14,False,False,False,False,35.5,4.7
209,Manar,Nawara,Female,1990-05-25,2023-05-25,,No,7646,27,False,False,False,False,35.6,2.6
210,Shereen,Lotfy,Female,2001-03-14,2021-06-21,,No,113,34,False,False,False,False,24.8,4.5
211,Emad,Borhan,Male,1983-10-26,2023-07-31,,No,13649,40,False,False,False,False,42.2,2.4
212,Eman,Salem,Female,1991-10-21,2021-01-30,,No,8493,18,False,False,False,False,34.2,4.9
213,Hosam,Ibrahim,Male,1983-07-23,2019-11-25,,No,10741,52,False,False,False,False,42.4,6.1
214,Rabab,Nagi,Female,1992-06-28,2023-07-31,,No,11901,25,False,False,False,False,33.5,2.4
215,Walid,Salem,Male,1979-03-12,2020-04-27,,No,5618,42,False,False,False,False,46.8,5.7
216,Mai,Elwy,Female,1977-05-30,2023-01-03,2023-12-23,Yes,7885,44,False,False,False,False,48.6,1.0
217,Sara,Nassar,Female,1995-04-20,2022-11-26,,No,1277,58,False,False,False,False,30.7,3.1
218,Ashraf,Nawara,Male,1998-06-12,2019-02-08,,No,11312,68,False,False,False,False,27.6,6.9
219,Lobna,Nasr,Female,1999-08-14,2020-05-01,,No,12707,23,False,False,False,False,26.4,5.7
220,Ola,Khalil,Female,2000-10-20,2022-05-07,,No,5148,24,False,False,False,False,25.2,3.7
221,Nadia,Osman,Female,1998-01-04,2022-06-13,,No,12537,45,False,False,False,False,28.0,3.6
222,Mona,Borhan,Female,1998-05-19,2024-05-06,,No,9602,23,False,False,False,False,27.6,1.7
223,Emad,Abdo,Male,1995-04-10,2019-03-31,,No,2291,48,False,False,False,False,30.7,6.8
224,Mai,Khamis,Female,1993-11-13,2020-05-08,2023-04-25,Yes,2443,59,False,False,False,False,32.1,3.0
225,Sherin,Mostafa,Female,1988-02-15,2020-11-24,2022-09-30,Yes,6104,61,False,False,False,False,37.9,1.8
226,Magdy,Tawfik,Male,1991-02-06,2019-10-04,,No,9042,73,False,False,False,False,34.9,6.2
227,Hassan,Bishara,Male,1990-11-15,2020-02-13,,No,9904,7,False,False,False,False,35.1,5.9
228,Sameh,Elnaggar,Male,1998-03-16,2023-03-23,,No,8898,2,False,False,False,False,27.8,2.8
229,Nour,Gabr,Female,2002-06-26,2021-01-23,,No,13214,56,False,False,False,False,23.5,4.9
230,Nader,Rizk,Male,1980-07-25,2022-11-18,,No,9482,42,False,False,False,False,45.4,3.1
231,Ayman,Farid,Male,1990-11-20,2021-05-31,,No,11176,36,False,False,False,False,35.1,4.6
232,Hala,Tantawy,Female,1971-09-05,2022-09-15,2023-08-18,Yes,6175,54,False,False,False,False,54.3,0.9
233,Rabab,Gouda,Female,1999-12-21,2021-07-04,2023-02-17,Yes,7223,23,False,False,False,False,26.0,1.6
234,Hazem,Amer,Male,1990-11-16,2024-04-25,,No,5617,6,False,False,False,False,35.1,1.7
235,Faris,Saad,Male,2001-10-23,2019-11-24,,No,14378,1,False,False,False,False,24.2,6.1
236,Ashraf,Zaki,Male,1999-04-29,2023-05-14,,No,13743,1,False,False,False,False,26.7,2.6
237,Hassan,Abboud,Male,1995-01-17,2024-04-27,,Yes,3946,58,False,False,True,False,31.0,1.7
238,Mostafa,Borhan,Male,1993-07-11,2022-08-23,,No,9952,26,False,False,False,False,32.5,3.4
239,Nada,Wahba,Female,2001-02-24,2019-08-30,,No,9628,24,False,False,False,False,24.9,6.3
240,Hany,Nawara,Male,1992-04-11,2021-10-02,,No,3305,28,False,False,False,False,33.7,4.2
241,Ashraf,Morsi,Male,2000-06-30,2019-06-29,,No,4077,12,False,False,False,False,25.5,6.5
242,Bassem,Fahmy,Male,1988-03-02,2022-01-15,,No,1882,71,False,False,False,False,37.8,4.0
243,Amr,Arafa,Male,1976-05-12,2020-02-16,,No,5789,30,False,False,False,False,49.6,5.9
244,Mohamed,Arafa,Male,2000-01-26,2021-08-15,,No,5536,68,False,False,False,False,25.9,4.4
245,Mona,Khalil,Female,1976-01-15,2023-01-12,,No,6276,77,False,False,False,False,50.0,3.0
246,Ali,Yousef,Male,1997-03-16,2019-06-01,,No,14301,36,False,False,False,False,28.8,6.6
247,Laila,Abdo,Female,1992-01-16,2023-04-22,,No,4499,37,False,False,False,False,34.0,2.7
248,Mahmoud,Ibrahim,Male,1993-05-30,2019-12-04,,No,12226,15,False,False,False,False,32.6,6.1
249,Essam,Hilal,Male,2002-09-29,2019-06-11,,No,10369,13,False,False,False,False,23.3,6.6
250,Ayman,Yousef,Male,2001-06-12,2021-12-28,,No,6746,24,False,False,False,False,24.6,4.0
251,Salma,Gouda,Female,1998-01-30,2024-01-22,,No,10409,3,False,False,False,False,27.9,1.9
252,Hassan,Ghanem,Male,1997-03-12,2023-04-29,,No,6993,48,False,False,False,False,28.8,2.7
253,Nevine,Ghanem,Female,2001-07-08,2022-01-22,,No,13333,46,False,False,False,False,24.5,3.9
254,Ayman,Hamdy,Female,1982-10-26,2022-11-11,,Yes,12707,29,False,False,True,False,43.2,3.1
